data,candidato,plataforma,seguidores,variacao_dia,trends_indice,mencoes,fonte,url_fonte,observacao
2026-02-09,Lula,instagram,14400000,,,,"Gazeta do Povo (9/2/2026), citando relatório Datrix",https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,"'14,4 milhões no Instagram'; data de referência = data da matéria (inferência); valor arredondado pela fonte"
2026-02-28,Flávio Bolsonaro,datrix_idp,,,37.14,,Datrix (Índice Datrix de Presidenciáveis) via CNN Brasil (6/3/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/flavio-lidera-ranking-digital-em-2026-e-lula-deixa-top-3-aponta-datrix/,Referência fevereiro/2026; escala -100 a 100; 1º lugar
2026-02-28,Lula,datrix_idp,,,25.66,,Datrix via CNN Brasil (6/3/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/flavio-lidera-ranking-digital-em-2026-e-lula-deixa-top-3-aponta-datrix/,"Fevereiro/2026; 4º lugar (Ratinho Jr. 29,90 em 3º; Eduardo Leite 24,14 em 5º)"
2026-02-28,Romeu Zema,datrix_idp,,,22.56,,Datrix via CNN Brasil (6/3/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/flavio-lidera-ranking-digital-em-2026-e-lula-deixa-top-3-aponta-datrix/,Fevereiro/2026; 6º lugar
2026-02-28,Ronaldo Caiado,datrix_idp,,,33.68,,Datrix via CNN Brasil (6/3/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/flavio-lidera-ranking-digital-em-2026-e-lula-deixa-top-3-aponta-datrix/,Fevereiro/2026; 2º lugar
2026-03-31,Flávio Bolsonaro,datrix_idp,,,32.56,,Datrix via CNN Brasil (2/4/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-flavio-lidera-ranking-digital-em-marco-lula-ve-renan-se-aproximar/,Março/2026; 1º lugar
2026-03-31,Lula,datrix_idp,,,23.56,,Datrix via CNN Brasil (2/4/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-flavio-lidera-ranking-digital-em-marco-lula-ve-renan-se-aproximar/,Março/2026; 2º lugar
2026-03-31,Renan Santos,datrix_idp,,,21.64,,Datrix via CNN Brasil (2/4/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-flavio-lidera-ranking-digital-em-marco-lula-ve-renan-se-aproximar/,Março/2026; 3º lugar
2026-03-31,Romeu Zema,datrix_idp,,,13.49,,Datrix via CNN Brasil (2/4/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-flavio-lidera-ranking-digital-em-marco-lula-ve-renan-se-aproximar/,"Março/2026; 5º lugar (Aldo Rebelo 11,22 em 6º)"
2026-03-31,Ronaldo Caiado,datrix_idp,,,13.94,,Datrix via CNN Brasil (2/4/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-flavio-lidera-ranking-digital-em-marco-lula-ve-renan-se-aproximar/,Março/2026; 4º lugar
2026-04-01,Romeu Zema,instagram,2600000,,,,Bites via Poder360 (9/5/2026),https://www.poder360.com.br/poder-eleicoes/apos-atrito-com-gilmar-zema-ganhou-14-mi-de-seguidores-nas-redes/,"Início de abril; cresceu 932,7 mil (+36,5%) no mês. Replicado por Gazeta Brasil 9/5 (https://gazetabrasil.com.br/destaques/2026/05/09/veja-para-quanto-saltou-o-numero-de-seguidores-de-romeu-zema-apos-embate-com-o-stf/); valor arredondado pela fonte"
2026-04-01,Renan Santos,tiktok,218500,,,,Bites via Poder360 (10/5/2026),https://www.poder360.com.br/poder-eleicoes/renan-santos-e-o-pre-candidato-que-mais-cresce-no-tiktok/,"Valor de início de abril: 'passou de 218,5 mil para 316,2 mil seguidores na plataforma, alta de 44,7%'; valor arredondado pela fonte"
2026-04-01,Romeu Zema,total_5_redes,4600000,,,,Bites via Poder360 (9/5/2026),https://www.poder360.com.br/poder-eleicoes/apos-atrito-com-gilmar-zema-ganhou-14-mi-de-seguidores-nas-redes/,"'tinha, no total, 4,6 milhões de seguidores no início de abril de 2026' (Facebook, TikTok, Instagram, YouTube e X); valor arredondado pela fonte"
2026-04-01,Renan Santos,total_redes,1300000,,,,Bites via Poder360 (10/5/2026),https://www.poder360.com.br/poder-eleicoes/renan-santos-e-o-pre-candidato-que-mais-cresce-no-tiktok/,"Início de abril: 'passando de 1,3 milhão para 1,7 milhão'; valor arredondado pela fonte"
2026-04-12,Flávio Bolsonaro,total_fb_ig_x,16600000,,,,Bites via Pleno.News (12/4/2026),https://pleno.news/brasil/politica-nacional/numero-de-seguidores-de-flavio-aumenta-381-em-6-meses.html,"Facebook+Instagram+X; 'saltando de 12 milhões (out/2025) para 16,6 milhões' (+38,1% em 6 meses). Replicado por Região Noroeste 13/4 (https://regiaonoroeste.com/flavio-bolsonaro-cresce-nas-redes-sociais-mas-lula-mantem-maior-base-de-seguidores/). Data de referência = data da matéria (inferência); valor arredondado pela fonte"
2026-04-12,Lula,total_fb_ig_x,30800000,,,,Bites via Pleno.News (12/4/2026),https://pleno.news/brasil/politica-nacional/numero-de-seguidores-de-flavio-aumenta-381-em-6-meses.html,"Facebook+Instagram+X; 'passando de 29,6 milhões para 30,8 milhões' (+3,9% desde out/2025). Data de referência = data da matéria (inferência); valor arredondado pela fonte"
2026-04-23,Renan Santos,instagram,1000000,,,,Conta 'Contagem da Missão' no X (post de 23/4/2026); não é veículo de imprensa,https://x.com/ContagemMissao/status/2047411125562528202,"Texto do post (via resultado de busca; o X bloqueia a leitura direta): 'Quinta-feira, 23 de abril de 2026. Renan Santos (@RenanSantosMBL) chega à marca de 1 milhão de seguidores no Instagram'. Sem confirmação de imprensa; valor arredondado pela fonte"
2026-04-24,Ronaldo Caiado,redes_nao_especificada,2100000,,,,Ativaweb DataLab via Canal MyNews (24/4/2026),https://canalmynews.com.br/noticias/azarao-da-direita/,"Período 26/3 a 24/4/2026; rede não especificada. Zema: maior crescimento proporcional (~16%), sem valor absoluto; valor arredondado pela fonte"
2026-04-30,Romeu Zema,datrix_idp,,,21.13,,Datrix via Revista Fórum (6/6/2026),https://revistaforum.com.br/politica/flavio-despenca-lula-lidera/,"Abril/2026; valor citado como base da queda de 42% em maio. CNN 6/5 (https://www.cnnbrasil.com.br/eleicoes/datrix-zema-salta-56-nas-redes-mas-flavio-e-lula-lideram/) só dá posições de abril: Flávio 1º, Lula 2º, Renan 3º, Zema 4º (+56%)"
2026-04-30,Romeu Zema,instagram,3500000,,,,Bites via Poder360 (9/5/2026),https://www.poder360.com.br/poder-eleicoes/apos-atrito-com-gilmar-zema-ganhou-14-mi-de-seguidores-nas-redes/,"Fim de abril, após atrito com Gilmar Mendes/STF; valor arredondado pela fonte"
2026-04-30,Renan Santos,tiktok,316200,,,,Bites via Poder360 (10/5/2026),https://www.poder360.com.br/poder-eleicoes/renan-santos-e-o-pre-candidato-que-mais-cresce-no-tiktok/,Valor de fim de abril; +97 mil no mês. Replicado por Gazeta do Paraná 11/5 (https://gazetadoparana.com.br/artigo/renan-santos-crescimento-tiktok-presidenciaveis-abril-2026-bites); valor arredondado pela fonte
2026-04-30,Romeu Zema,total_5_redes,6000000,,,,Bites via Poder360 (9/5/2026),https://www.poder360.com.br/poder-eleicoes/apos-atrito-com-gilmar-zema-ganhou-14-mi-de-seguidores-nas-redes/,"+1,4 milhão (+32%) em abril; valor arredondado pela fonte"
2026-04-30,Renan Santos,total_redes,1700000,,,,Bites via Poder360 (10/5/2026),https://www.poder360.com.br/poder-eleicoes/renan-santos-e-o-pre-candidato-que-mais-cresce-no-tiktok/,"Fim de abril; +36,9% (~470 mil). Zema +32,1%, Flávio +3,1%, Lula +0,7% no mês, sem valores absolutos; valor arredondado pela fonte"
2026-05-18,Flávio Bolsonaro,instagram,10300000,,,,"Instituto Democracia em Xeque, Semanal DX (19/5/2026)",https://institutodx.org/semanaldx/19052026/,@flaviobolsonaro. Base extraída em 18/05 às 12h; valor arredondado pela fonte
2026-05-18,Lula,instagram,14500000,,,,"Instituto Democracia em Xeque, Semanal DX (19/5/2026)",https://institutodx.org/semanaldx/19052026/,@lulaoficial. Base extraída em 18/05 às 12h; valor arredondado pela fonte
2026-05-18,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (19/5/2026)",https://institutodx.org/semanaldx/19052026/,@ronaldocaiado. Base extraída em 18/05 às 12h; valor arredondado pela fonte
2026-05-25,Flávio Bolsonaro,instagram,10300000,,,,"Instituto Democracia em Xeque, Semanal DX (26/5/2026)",https://institutodx.org/semanaldx/26052026/,@flaviobolsonaro. Base extraída em 25/05 às 12h; valor arredondado pela fonte
2026-05-25,Lula,instagram,14500000,,,,"Instituto Democracia em Xeque, Semanal DX (26/5/2026)",https://institutodx.org/semanaldx/26052026/,@lulaoficial. Base extraída em 25/05 às 12h; valor arredondado pela fonte
2026-05-25,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (26/5/2026)",https://institutodx.org/semanaldx/26052026/,@ronaldocaiado. Base extraída em 25/05 às 12h; valor arredondado pela fonte
2026-05-31,Flávio Bolsonaro,datrix_idp,,,21.78,,Datrix via Revista Fórum (6/6/2026),https://revistaforum.com.br/politica/flavio-despenca-lula-lidera/,"Maio/2026; 2º lugar; queda de 21,8% após caso Master/Vorcaro (CNN 8/6)"
2026-05-31,Lula,datrix_idp,,,24.45,,Datrix via Revista Fórum (6/6/2026),https://revistaforum.com.br/politica/flavio-despenca-lula-lidera/,"Maio/2026; 1º lugar (+7,9% vs abril, cf. CNN 8/6 https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-master-faz-flavio-perder-para-lula-lideranca-de-ranking-digital/)"
2026-05-31,Romeu Zema,datrix_idp,,,12.19,,Datrix via Revista Fórum (6/6/2026),https://revistaforum.com.br/politica/flavio-despenca-lula-lidera/,"Maio/2026; queda de 42% ante abril (21,13)"
2026-05-31,Renan Santos,redes_nao_especificada,1500000,,,,DSC Lab (Índice Brasil de Impacto Digital) via A Notícia do Vale (4/6/2026),https://anoticiadovale.com/2026/06/04/pauta-antifaccao-consolida-flavio-bolsonaro-como-presidenciavel-com-mais-engajamento-nas-redes/,"'quase dobrou o número de seguidores, atingindo a marca de 1,5 milhão' em maio/2026; rede não especificada. Ranking DSC Lab de maio: Flávio 1º, Lula 2º, Zema 4º, Caiado último, sem valores; valor arredondado pela fonte"
2026-06-01,Flávio Bolsonaro,instagram,10500000,,,,"Instituto Democracia em Xeque, Semanal DX (2/6/2026)",https://institutodx.org/semanaldx/02062026/,@flaviobolsonaro. Base extraída em 01/06 às 18h; valor arredondado pela fonte
2026-06-01,Lula,instagram,14700000,,,,Ativaweb DataLab via Canal MyNews (2/6/2026),https://canalmynews.com.br/politica/lula-lidera-audiencia-digital-enquanto-flavio-bolsonaro-e-renan-santos-avancam-nas-redes/,"Período 3/5 a 1/6/2026; 'concentra cerca de 45% de toda a audiência analisada'. Flávio +349 mil e Renan +421 mil (+37,25%) em 30 dias, sem totais; valor arredondado pela fonte"
2026-06-01,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (2/6/2026)",https://institutodx.org/semanaldx/02062026/,@ronaldocaiado. Base extraída em 01/06 às 18h; valor arredondado pela fonte
2026-06-08,Flávio Bolsonaro,instagram,10600000,,,,"Instituto Democracia em Xeque, Semanal DX (9/6/2026)",https://institutodx.org/semanaldx/09062026/,@flaviobolsonaro. Base extraída em 08/06 às 16h; primeira edição com @renansantosmbl; valor arredondado pela fonte
2026-06-08,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (9/6/2026)",https://institutodx.org/semanaldx/09062026/,@lulaoficial. Base extraída em 08/06 às 16h; primeira edição com @renansantosmbl; valor arredondado pela fonte
2026-06-08,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (9/6/2026)",https://institutodx.org/semanaldx/09062026/,@renansantosmbl. Base extraída em 08/06 às 16h; primeira edição com @renansantosmbl; valor arredondado pela fonte
2026-06-08,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (9/6/2026)",https://institutodx.org/semanaldx/09062026/,@ronaldocaiado. Base extraída em 08/06 às 16h; primeira edição com @renansantosmbl; valor arredondado pela fonte
2026-06-15,Flávio Bolsonaro,instagram,10600000,,,,"Instituto Democracia em Xeque, Semanal DX (16/6/2026)",https://institutodx.org/semanaldx/16062026/,@flaviobolsonaro. Base extraída em 15/06 às 16h; valor arredondado pela fonte
2026-06-15,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (16/6/2026)",https://institutodx.org/semanaldx/16062026/,@lulaoficial. Base extraída em 15/06 às 16h; valor arredondado pela fonte
2026-06-15,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (16/6/2026)",https://institutodx.org/semanaldx/16062026/,@renansantosmbl. Base extraída em 15/06 às 16h; valor arredondado pela fonte
2026-06-15,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (16/6/2026)",https://institutodx.org/semanaldx/16062026/,@ronaldocaiado. Base extraída em 15/06 às 16h; valor arredondado pela fonte
2026-06-22,Flávio Bolsonaro,instagram,10600000,,,,"Instituto Democracia em Xeque, Semanal DX (23/6/2026)",https://institutodx.org/semanaldx/23062026/,@flaviobolsonaro. Base extraída em 22/06 às 18h; valor arredondado pela fonte
2026-06-22,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (23/6/2026)",https://institutodx.org/semanaldx/23062026/,@lulaoficial. Base extraída em 22/06 às 18h; valor arredondado pela fonte
2026-06-22,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (23/6/2026)",https://institutodx.org/semanaldx/23062026/,@renansantosmbl. Base extraída em 22/06 às 18h; valor arredondado pela fonte
2026-06-22,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (23/6/2026)",https://institutodx.org/semanaldx/23062026/,@ronaldocaiado. Base extraída em 22/06 às 18h; valor arredondado pela fonte
2026-06-26,Renan Santos,instagram,1750000,,,,Ativaweb DataLab via Amado Mundo (27/6/2026),https://amadomundo.com/renan-santos-maior-engajamento-redes/,"Período 28/5 a 26/6/2026; +259 mil no período; engajamento 4,16%. A matéria fala em 'seguidores' sem nomear a rede; Instagram é inferência a partir da metodologia da Ativaweb; valor arredondado pela fonte"
2026-06-29,Flávio Bolsonaro,instagram,10700000,,,,"Instituto Democracia em Xeque, Semanal DX (30/6/2026)",https://institutodx.org/semanaldx/30062026/,@flaviobolsonaro. Base extraída em 29/06 às 18h; valor arredondado pela fonte
2026-06-29,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (30/6/2026)",https://institutodx.org/semanaldx/30062026/,@lulaoficial. Base extraída em 29/06 às 18h; valor arredondado pela fonte
2026-06-29,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (30/6/2026)",https://institutodx.org/semanaldx/30062026/,@renansantosmbl. Base extraída em 29/06 às 18h; valor arredondado pela fonte
2026-06-29,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (30/6/2026)",https://institutodx.org/semanaldx/30062026/,@ronaldocaiado. Base extraída em 29/06 às 18h; valor arredondado pela fonte
2026-06-30,Flávio Bolsonaro,datrix_idp,,,29.7,,Datrix via CNN Brasil (8/7/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/politica/flavio-bolsonaro-retoma-lideranca-em-ranking-digital-e-supera-lula-em-junho/,Junho/2026; 1º lugar; 51% das menções no 'mar aberto'
2026-06-30,Lula,datrix_idp,,,27.8,,Datrix via CNN Brasil (8/7/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/politica/flavio-bolsonaro-retoma-lideranca-em-ranking-digital-e-supera-lula-em-junho/,Junho/2026; 2º lugar
2026-06-30,Renan Santos,datrix_idp,,,10.4,,Datrix via CNN Brasil (8/7/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/politica/flavio-bolsonaro-retoma-lideranca-em-ranking-digital-e-supera-lula-em-junho/,Junho/2026; 4º lugar
2026-06-30,Romeu Zema,datrix_idp,,,12.4,,Datrix via CNN Brasil (8/7/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/politica/flavio-bolsonaro-retoma-lideranca-em-ranking-digital-e-supera-lula-em-junho/,Junho/2026; 3º lugar
2026-06-30,Ronaldo Caiado,datrix_idp,,,10.1,,Datrix via CNN Brasil (8/7/2026),https://www.cnnbrasil.com.br/blogs/iuri-pitta/politica/flavio-bolsonaro-retoma-lideranca-em-ranking-digital-e-supera-lula-em-junho/,Junho/2026; 5º lugar
2026-06-30,Flávio Bolsonaro,instagram,10700000,,,,"Zeeng, ranking 100 políticos mais influentes no Instagram (PDF hospedado pelo Poder360, jul/2026)",https://static.poder360.com.br/uploads/2026/07/zeeng-politicos-mais-influentes-2026.pdf,Período 1/1 a 30/6/2026; 5º lugar com 193.333 interações/post. Único presidenciável com seguidores explicitados no PDF conforme extração; valor arredondado pela fonte
2026-06-30,Augusto Cury,total_5_redes,14400000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"'Augusto Cury (14,4 milhões) e Cabo Daciolo (2 milhões) passaram a ser monitorados pela Bites apenas após o lançamento das pré-candidaturas'; sem variação no semestre. Poder360 12/7 cita '14 milhões (monitorado a partir de março)'; valor arredondado pela fonte"
2026-06-30,Flávio Bolsonaro,total_5_redes,21000000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"Ganho de 5,6 milhões (+36%) no semestre; soma das 5 redes; valor arredondado pela fonte"
2026-06-30,Lula,total_5_redes,38900000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"Soma de Instagram, TikTok, Facebook, X e YouTube ao fim de junho; ganho de 1,8 milhão (+5%) no semestre. Matéria não desagrega por plataforma; valor arredondado pela fonte"
2026-06-30,Renan Santos,total_5_redes,2800000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"Ganho de 2,3 milhões (+430,7%) no semestre; 'passou de 537 mil para 2,8 milhões' (O Hoje 4/7 https://ohoje.com/2026/07/04/lula-lidera-em-numero-de-seguidores-e-flavio-tem-maior-engajamento-nas-redes-aponta-levantamento/); valor arredondado pela fonte"
2026-06-30,Romeu Zema,total_5_redes,6200000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"Ganho de 2,4 milhões (+63,3%) no semestre; soma das 5 redes; valor arredondado pela fonte"
2026-06-30,Ronaldo Caiado,total_5_redes,4700000,,,,Bites via CNN Brasil (4/7/2026),https://www.cnnbrasil.com.br/eleicoes/a-tres-meses-da-eleicao-flavio-lidera-tracao-nas-redes-e-lula-seguidores/,"Ganho de 795 mil (+20,1%) no semestre; soma das 5 redes; valor arredondado pela fonte"
2026-07-01,Augusto Cury,total_4_redes,14000000,,,,Bites via Poder360 (12/7/2026),https://www.poder360.com.br/poder-eleicoes/flavio-ganha-3-vezes-mais-seguidores-que-lula-no-1o-semestre/,"Facebook, Instagram, TikTok e YouTube; período 1/1 a 1/7/2026; Cury monitorado a partir de março; valor arredondado pela fonte"
2026-07-06,Flávio Bolsonaro,instagram,10700000,,,,"Instituto Democracia em Xeque, Semanal DX (8/7/2026)",https://institutodx.org/semanaldx/08072026/,@flaviobolsonaro. Base extraída em 06/07 às 16h; valor arredondado pela fonte
2026-07-06,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (8/7/2026)",https://institutodx.org/semanaldx/08072026/,@lulaoficial. Base extraída em 06/07 às 16h; valor arredondado pela fonte
2026-07-06,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (8/7/2026)",https://institutodx.org/semanaldx/08072026/,@renansantosmbl. Base extraída em 06/07 às 16h; valor arredondado pela fonte
2026-07-06,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (8/7/2026)",https://institutodx.org/semanaldx/08072026/,@ronaldocaiado. Base extraída em 06/07 às 16h; valor arredondado pela fonte
2026-07-13,Flávio Bolsonaro,instagram,10700000,,,,"Instituto Democracia em Xeque, Semanal DX (14/7/2026)",https://institutodx.org/semanaldx/relatorio15/,@flaviobolsonaro. Relatório #15; base extraída em 13/07 às 16h; valor arredondado pela fonte
2026-07-13,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (14/7/2026)",https://institutodx.org/semanaldx/relatorio15/,@lulaoficial. Relatório #15; base extraída em 13/07 às 16h; valor arredondado pela fonte
2026-07-13,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (14/7/2026)",https://institutodx.org/semanaldx/relatorio15/,@renansantosmbl. Relatório #15; base extraída em 13/07 às 16h; valor arredondado pela fonte
2026-07-13,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (14/7/2026)",https://institutodx.org/semanaldx/relatorio15/,@ronaldocaiado. Relatório #15; base extraída em 13/07 às 16h; valor arredondado pela fonte
2026-07-20,Flávio Bolsonaro,instagram,10800000,,,,"Instituto Democracia em Xeque, Semanal DX (22/7/2026)",https://institutodx.org/semanaldx/relatorio-16/,@flaviobolsonaro. Relatório #16; base extraída em 20/07 às 18h; valor arredondado pela fonte
2026-07-20,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (22/7/2026)",https://institutodx.org/semanaldx/relatorio-16/,@lulaoficial. Relatório #16; base extraída em 20/07 às 18h; valor arredondado pela fonte
2026-07-20,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (22/7/2026)",https://institutodx.org/semanaldx/relatorio-16/,@renansantosmbl. Relatório #16; base extraída em 20/07 às 18h; valor arredondado pela fonte
2026-07-20,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (22/7/2026)",https://institutodx.org/semanaldx/relatorio-16/,@ronaldocaiado. Relatório #16; base extraída em 20/07 às 18h; valor arredondado pela fonte
2026-07-27,Flávio Bolsonaro,instagram,10800000,,,,"Instituto Democracia em Xeque, Semanal DX (29/7/2026)",https://institutodx.org/semanaldx/relatorio17/,@flaviobolsonaro. Relatório #17; base extraída em 27/07 às 16h; valor arredondado pela fonte
2026-07-27,Lula,instagram,14700000,,,,"Instituto Democracia em Xeque, Semanal DX (29/7/2026)",https://institutodx.org/semanaldx/relatorio17/,@lulaoficial. Relatório #17; base extraída em 27/07 às 16h; valor arredondado pela fonte
2026-07-27,Renan Santos,instagram,1600000,,,,"Instituto Democracia em Xeque, Semanal DX (29/7/2026)",https://institutodx.org/semanaldx/relatorio17/,@renansantosmbl. Relatório #17; base extraída em 27/07 às 16h; valor arredondado pela fonte
2026-07-27,Ronaldo Caiado,instagram,2100000,,,,"Instituto Democracia em Xeque, Semanal DX (29/7/2026)",https://institutodx.org/semanaldx/relatorio17/,@ronaldocaiado. Relatório #17; base extraída em 27/07 às 16h; valor arredondado pela fonte
2026-08-03,Flávio Bolsonaro,instagram,11400000,,,,"Instituto Democracia em Xeque, Semanal DX (4/8/2026)",https://institutodx.org/semanaldx/relatorio18/,"@flaviobolsonaro. Relatório #18 (27/7 a 3/8). ATENÇÃO: a página informa base 'extraída em 27/07 às 16h' (mesma do #17, que traz valores menores) e os valores são idênticos aos do #21 (24/8); provável erro de edição no site. Data 3/8 é inferência; usar com cautela; valor arredondado pela fonte"
