data,candidato,evento,categoria,descricao,url
2026-03-24,Ronaldo Caiado,Anuncia que deixará o governo de Goiás em 31/3,contexto,Brasil 247 (24/3/2026): Caiado anunciou que deixaria o comando do estado em 31 de março; vice Daniel Vilela (MDB) assume.,https://www.brasil247.com/brasil/ronaldo-caiado-anuncia-que-deixara-o-governo-de-goias-em-31-de-marco
2026-03-30,Ronaldo Caiado,PSD confirma Caiado como pré-candidato à Presidência,contexto,"Gilberto Kassab: 'O PSD encerrou essa importante etapa de definição de nosso pré-candidato' (Gazeta do Povo, 30/3/2026).",https://www.gazetadopovo.com.br/eleicoes/2026/ronaldo-caiado-sera-candidato-a-presidente-pelo-psd/
2026-03-31,Lula,Lula confirma Alckmin como vice na chapa de 2026,contexto,"Reuters (31/3/2026): em reunião ministerial de terça-feira, Lula disse que Geraldo Alckmin 'will again be his running mate'; Alckmin deixaria o MDIC para se desincompatibilizar.",https://www.aol.com/articles/brazils-lula-confirms-alckmin-running-135304964.html
2026-04-04,Augusto Cury,Anuncia filiação ao Avante e pré-candidatura à Presidência,contexto,"O Tempo (5/4/2026): 'anunciou, neste domingo (4/4), sua filiação ao partido Avante', em Brasília, pelas redes sociais; no início de março dizia procurar partido. CNN (22/8) situa a confirmação da pré-candidatura pelo Avante em abril.",https://www.otempo.com.br/eleicoes/2026/2026/4/5/augusto-cury-se-filia-ao-avante-e-lanca-pre-candidatura-a-presidencia-da-republica
2026-04-04,todos,"Prazo de filiação partidária, domicílio eleitoral e desincompatibilização",calendário,"Último dia para filiação ao partido pelo qual o candidato concorre, fixação de domicílio eleitoral e desincompatibilização de cargos (seis meses antes do pleito). Marçal obteve filiação retroativa a esta data (ver 15/8).",https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-04-23,Renan Santos,Chega a 1 milhão de seguidores no Instagram (registro de conta de apoiadores),contexto,"Post da conta 'Contagem da Missão' no X: 'Quinta-feira, 23 de abril de 2026. Renan Santos chega à marca de 1 milhão de seguidores no Instagram'. Não é veículo de imprensa; sem confirmação jornalística.",https://x.com/ContagemMissao/status/2047411125562528202
2026-04-27,Romeu Zema,Ganha quase 1 milhão de seguidores em uma semana após atrito com Gilmar Mendes/STF,contexto,"CNN Brasil (28/4/2026): +716 mil no Instagram entre 20 e 27/4, chegando a mais de 3,3 milhões; Bites via Poder360 (9/5) registra +1,4 milhão no total de abril.",https://www.cnnbrasil.com.br/blogs/isabel-mega/politica/zema-aposta-nas-redes-e-ganha-quase-1-milhao-de-seguidores-em-uma-semana/
2026-05-06,Augusto Cury,Avante lança oficialmente a pré-candidatura de Cury em Belo Horizonte,contexto,"Quarta-feira, BeFly Hall, BH (InfoMoney, 6/5/2026; Poder360 chamou de lançamento 'nesta 4ª').",https://www.infomoney.com.br/politica/augusto-cury-estreia-na-politica-e-lanca-pre-candidatura-ao-planalto-pelo-avante/
2026-05-07,todos,Fechamento do cadastro eleitoral,calendário,Cadastro eleitoral fechado; 6/5 foi o prazo para pedidos de título e transferências.,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-05-13,Flávio Bolsonaro,Caso Master: Intercept revela áudios com Vorcaro sobre R$ 134 mi para o filme Dark Horse,contexto,"Intercept Brasil (13/5/2026): Flávio negociou com Daniel Vorcaro, dono do Banco Master, R$ 134 milhões para o filme sobre Jair Bolsonaro; ao menos R$ 61 milhões transferidos entre fevereiro e maio de 2025 via fundo Havengate.",https://www.intercept.com.br/2026/05/13/audio-flavio-negociou-vorcaro-milhoes/
2026-06-02,Flávio Bolsonaro,Caso Master: Intercept publica que Vorcaro tratou pagamento do filme como prioridade,contexto,"Segunda reportagem do Intercept (2/6/2026): 'Esse é o mais importante disparado', segundo mensagens de Vorcaro após cobrança de Flávio.",https://www.intercept.com.br/2026/06/02/mais-importante-disparado-vorcaro-bolsonaro/
2026-06-08,Flávio Bolsonaro,Datrix: caso Master faz Flávio perder liderança digital em maio,contexto,"CNN Brasil (8/6/2026): Flávio perdeu 21,8% de performance no Índice Datrix após as revelações; Lula assumiu a liderança de maio.",https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/datrix-master-faz-flavio-perder-para-lula-lideranca-de-ranking-digital/
2026-06-30,todos,Vedação a programas de rádio e TV com pré-candidatos,calendário,A partir desta data emissoras ficam impedidas de transmitir programas apresentados ou comentados por pré-candidatos.,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-07-01,Lula,PT marca convenção para 2/8 em São Paulo,convenção,Gazeta do Povo (1/7/2026): convenção inicialmente prevista para 1/8 em Brasília foi remarcada para 2/8 em São Paulo.,https://www.gazetadopovo.com.br/eleicoes/2026/pt-marca-oficializacao-da-candidatura-de-lula-para-2-de-agosto/
2026-07-20,Renan Santos,Convenção virtual do Missão oficializa Renan e o vice Aroldo 'Coronel' Medina,convenção,"Convenção antecipada de 1/8 para 20/7 por 'motivos de segurança', online e sem transmissão; primeiro candidato a presidente oficializado em 2026 (Diário do Grande ABC e Gazeta do Povo, 20/7/2026).",https://www.dgabc.com.br/Noticia/4336354/missao-oficializa-candidatura-de-renan-santos-a-presidencia
2026-07-20,todos,Início do período de convenções partidárias (20/7 a 5/8),calendário,Convenções para escolha de candidatos e formação de coligações; notícia do TSE de 6/3/2026 confirma o intervalo de 20 de julho a 5 de agosto.,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-07-25,Flávio Bolsonaro,Convenção nacional do PL oficializa Flávio à Presidência,convenção,"Sábado, em São Paulo; vice ainda não definido (CNN Brasil, 25/7/2026).",https://www.cnnbrasil.com.br/eleicoes/pl-oficializa-candidatura-de-flavio-bolsonaro-a-presidencia/
2026-07-25,Lula,Caso Lulinha: PF pede ao STF autorização para investigar Fábio Luís,contexto,"Poder360 (31/7/2026): 'A PF enviou o pedido ao STF no dia 25 de julho, durante o recesso do Judiciário'; caso ligado ao 'Careca do INSS' e à empresa World Cannabis.",https://www.poder360.com.br/poder-justica/entenda-a-investigacao-da-pf-sobre-lulinha-e-trafico-de-influencia/
2026-07-26,Ronaldo Caiado,Convenção nacional do PSD oficializa Caiado com Kassab (PSD) de vice,convenção,"Domingo, sede do PSD em São Paulo (Folha BV e Poder360, 26/7/2026).",https://www.folhabv.com.br/politica/psd-oficializa-ronaldo-caiado-como-candidato-a-presidencia-gilberto-kassab-sera-o-vice/
2026-07-27,Romeu Zema,Convenção nacional do Novo oficializa Zema em Brasília,convenção,Agência Brasil (27/7/2026): vice ainda não definido na data.,https://agenciabrasil.ebc.com.br/politica/noticia/2026-07/novo-oficializa-candidatura-de-romeu-zema-presidencia-da-republica
2026-07-27,Samara Martins,Convenção da UP oficializa Samara com Raquel Brício de vice,convenção,"Domingo, Universidade Zumbi dos Palmares, São Paulo; chapa 100% feminina (CNN Brasil, 27/7/2026).",https://www.cnnbrasil.com.br/eleicoes/up-oficializa-candidatura-de-samara-martins-a-presidencia/
2026-07-29,Pablo Marçal,PRTB oficializa Leonardo Avalanche (não Marçal) em convenção em Goiânia,convenção,"Poder360 (3/8/2026): o PRTB pretendia lançar Marçal, mas ele estava inelegível e filiado ao União Brasil; Avalanche escolhido, vice indefinido.",https://www.poder360.com.br/poder-eleicoes-2026/prtb-oficializa-leonardo-avalanche-como-candidato-a-presidencia/
2026-07-30,Flávio Bolsonaro,"Caso Master: divulgada foto de Flávio com 'Sicário', capanga de Vorcaro",contexto,TVT News (26/8/2026) registra em 30/7 a foto ao lado de Luiz Phillipi Mourão ('Sicário'); PF avaliava inclusão na Interpol.,https://tvtnews.com.br/flavio-bolsonaro-e-vorcaro-3-meses-de-dark-horse/
2026-07-30,Lula,Caso Lulinha: Mendonça autoriza 1º inquérito (cannabis medicinal / Careca do INSS),contexto,"Ministro André Mendonça autorizou em 30/7 a investigação; Lula declarou que 'Lulinha não vai ter ajuda minha se estiver errado' (Poder360, 31/7; CNN, 20/8).",https://www.cnnbrasil.com.br/politica/entenda-os-tres-inqueritos-em-que-lulinha-e-investigado/
2026-07-31,Lula,Caso Lulinha: 2º inquérito (Dataprev) autorizado,contexto,"CNN Brasil (20/8/2026): segundo inquérito, sobre atuação junto à Dataprev, autorizado em 31/7 por André Mendonça.",https://www.cnnbrasil.com.br/politica/entenda-os-tres-inqueritos-em-que-lulinha-e-investigado/
2026-08-01,Renan Santos,Evento presencial de lançamento da candidatura no Komplexo Tempo (SP),convenção,"Brasil de Fato (1/8/2026): sábado, zona leste de São Paulo, com Aroldo Medina como vice.",https://www.brasildefato.com.br/2026/08/01/partido-missao-oficializa-candidatura-de-renan-santos-a-presidencia/
2026-08-02,Lula,Convenção nacional do PT oficializa Lula à reeleição com Alckmin (PSB),convenção,"Domingo, Expo Center Norte, zona norte de São Paulo (BandNews FM, 2/8/2026).",https://www.band.com.br/bandnews-fm/noticias/pt-oficializa-lula-como-candidato-a-reeleicao-em-evento-em-sao-paulo-202608021056
2026-08-03,Augusto Cury,Convenção nacional do Avante oficializa Cury na Alesp,convenção,"Segunda-feira, Assembleia Legislativa de SP, com Tarcísio de Freitas, Ricardo Nunes e André do Prado; vice indefinido; Cury disse que a aliança com Zema/Novo 'não avançou' (Agência Brasil e Poder360, 3/8/2026).",https://agenciabrasil.ebc.com.br/politica/noticia/2026-08/avante-oficializa-augusto-cury-como-candidato-presidencia
2026-08-04,Lula,Caso Lulinha: Dino autoriza 3º inquérito (grupo de favorecimento de empresas),contexto,CNN Brasil (20/8/2026): ministro Flávio Dino autorizou em 4/8 investigação sobre 'atuação de um grupo de pessoas em prol de favorecimento de empresas junto ao governo federal'.,https://www.cnnbrasil.com.br/politica/entenda-os-tres-inqueritos-em-que-lulinha-e-investigado/
2026-08-04,Romeu Zema,Novo anuncia senador Eduardo Girão (Novo-CE) como vice; chapa pura,convenção,"JOTA (4/8/2026): Girão aceitou o convite 'pelos brasileiros sedentos por justiça'; conversas de chapa com Cury/Avante não avançaram (Poder360, 3/8).",https://www.jota.info/eleicoes/eleicoes-2026/com-girao-na-vice-de-zema-novo-tera-chapa-pura-para-a-presidencia
2026-08-05,Augusto Cury,Anuncia Júlio Delgado (Avante) como vice,convenção,"Poder360 (5/8/2026): ex-deputado federal Júlio Delgado anunciado na quarta-feira, último dia das convenções.",https://www.poder360.com.br/poder-eleicoes-2026/augusto-cury-anuncia-julio-delgado-como-vice-na-disputa-presidencial/
2026-08-05,Flávio Bolsonaro,Anuncia Alfredo Gaspar (PL) como vice; chapa pura,convenção,"Anúncio no último dia das convenções após PP, União Brasil, Republicanos e Podemos recusarem coligação formal; Flávio havia prometido o nome até 15 de março (CNN Brasil, 5/8/2026).",https://www.cnnbrasil.com.br/eleicoes/flavio-anuncia-alfredo-gaspar-como-vice-em-chapa-pura-a-presidencia/
2026-08-05,Pablo Marçal,TRE-SP nega recurso por unanimidade e mantém inelegibilidade até 2032,justiça eleitoral,"Sete votos contra o recurso; multa de R$ 420 mil mantida (Congresso em Foco, 5/8/2026).",https://www.congressoemfoco.com.br/noticia/121052/por-unanimidade-tre-sp-mantem-pablo-marcal-inelegivel-ate-2032
2026-08-05,todos,Fim do período de convenções partidárias,calendário,Último dia para convenções; no mesmo dia Flávio Bolsonaro e Augusto Cury anunciaram seus vices.,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-08-14,todos,Quaest usada como critério das sabatinas do JN,contexto,"Genial/Quaest divulgada em 14/8 (campo 10 a 13/8): Lula 38%, Flávio 31%, Renan Santos 4%, Caiado 4%, Zema 2%, Cury 2%, Samara Martins 1% (Gazeta do Povo, 14/8). Os seis mais bem colocados foram os sabatinados pelo JN, em ordem sorteada (TV Sim Brasil, 24/8).",https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-pesquisa-presidente-agosto-2026/
2026-08-15,Pablo Marçal,Liminar para voltar ao PRTB (filiação retroativa a 4/4) e registro da candidatura às 18h51; Avalanche vira vice,registro,"Gazeta do Povo (15/8): liminar de 1ª instância fixou a filiação retroativa; Correio Braziliense (15/8): pedido protocolado às 18h51, patrimônio declarado de R$ 7,418 bilhões, Avalanche trocou a cabeça de chapa pela vice.",https://www.correiobraziliense.com.br/politica/2026/08/7480858-pablo-marcal-registra-candidatura-a-presidencia-pelo-prtb.html
2026-08-15,todos,Prazo final para registro de candidaturas (19h),calendário,Notícia do TSE de 14/8/2026: registro até as 19h de sábado 15/8; também último dia para abertura de conta bancária de campanha. Treze candidaturas presidenciais foram protocoladas.,https://www.tse.jus.br/comunicacao/noticias/2026/Agosto/prazo-para-registro-de-candidaturas-nas-eleicoes-2026-termina-neste-sabado-15
2026-08-16,todos,Início da propaganda eleitoral (campanha),calendário,"A partir de 16/8 é permitido o pedido explícito de voto, inclusive na internet (TSE, 14/8/2026).",https://www.tse.jus.br/comunicacao/noticias/2026/Agosto/prazo-para-registro-de-candidaturas-nas-eleicoes-2026-termina-neste-sabado-15
2026-08-18,Lula,Decisão de não ir ao debate da Band,debate,"Campanha de Lula anuncia ausência no debate Band/Estadão de 23/8 e se queixa do convite a Zema e Renan Santos, cujos partidos não têm os 5 parlamentares que obrigam o convite. Lula já dissera que não iria a debate 'para ouvir bobagem'.","https://www.terra.com.br/noticias/brasil/politica/lula-se-queixa-da-presenca-de-zema-e-renan-santos-e-decide-nao-ir-ao-debate-bandestadao,8d3ae6bed811bc0df3847cf81d2c168719kyamzx.html"
2026-08-20,Flávio Bolsonaro,Diz que Dark Horse é 'página virada',declaração,"Brasil de Fato (20/8/2026): sem explicar o dinheiro de Vorcaro e do Master, Flávio afirmou que o caso é 'página virada'.",https://www.brasildefato.com.br/2026/08/20/sem-explicar-dinheiro-de-vorcaro-e-do-banco-master-flavio-bolsonaro-diz-que-dark-horse-e-pagina-virada/
2026-08-20,Pablo Marçal,TSE concede liminar unânime restringindo campanha,justiça eleitoral,"Plenário do TSE, relatora Estela Aranha, a pedido do MP Eleitoral, proíbe Marçal de usar FEFC e fundo partidário, propaganda gratuita em rádio/TV e participação em debates até o julgamento do registro (RCand 0601586-09.2026.6.00.0000). Fundamentos: filiação ao PRTB sem comprovação no prazo (estava no União Brasil em abril) e inelegibilidade até 2032 por condenação do TRE-SP.",https://www.tse.jus.br/comunicacao/noticias/2026/Agosto/tse-concede-liminar-proibindo-pablo-marcal-de-usar-recursos-oficiais-para-campanha
2026-08-20,Pablo Marçal,Debates: proibido de participar,debate,"Liminar do TSE de 20/8 veda 'todos os atos de promoção da candidatura, incluindo debates'; não foi convidado pela Band (23/8) nem pelo consórcio de 14/9, que chamou seis candidatos.",https://www.tse.jus.br/comunicacao/noticias/2026/Agosto/tse-concede-liminar-proibindo-pablo-marcal-de-usar-recursos-oficiais-para-campanha
2026-08-21,Pablo Marçal,Presidente do TRE-SP rejeita recurso de Marçal,justiça eleitoral,Gazeta do Povo (26/8/2026) registra a rejeição em 21/8.,https://www.gazetadopovo.com.br/eleicoes/2026/tre-sp-derruba-uma-das-condenacoes-que-tornava-pablo-marcal-inelegivel/
2026-08-21,Rui Costa Pimenta,Critica PF após operação contra o PCO,declaração,Após operação da PF de 11/8 sobre suspeita de desvio de fundo partidário e FEFC atingindo o PCO e ele próprio: 'Essa Polícia Federal é uma polícia política'.,https://www.poder360.com.br/poder-eleicoes-2026/rui-costa-pimenta-critica-atuacao-da-pf-e-fala-em-uso-politico/
2026-08-23,Augusto Cury; Renan Santos; Ronaldo Caiado,"Primeiro debate presidencial, Band",debate,"Debate mais esvaziado desde 1989: média de 1,9 ponto de audiência e pico de 2,9, contra 5,4 de uma entrevista gravada de Lula na Record no mesmo horário. Ausentes: Lula, Flávio Bolsonaro e Romeu Zema. Cury anunciou que não participaria, em protesto, e voltou atrás.",
2026-08-23,Clariana Barão,Critica exclusão de mulheres do debate da Band,declaração,"'O primeiro debate presidencial das eleições deste ano excluiu as mulheres', afirmou a candidata do DC.",https://canalmynews.com.br/eleicoes-2026/debate-presidencial-da-band-entenda-as-regras-e-as-polemicas-pela-ausencia-de-alguns-candidatos/
2026-08-23,Flávio Bolsonaro,Ausente no debate da Band,debate,Não compareceu. Motivo alegado: só vai a debate com Lula presente; sem Lula seria o alvo principal dos demais. Valdemar Costa Neto: 'O debate dele tem que ser com Lula e acabou'.,https://www.gazetadopovo.com.br/eleicoes/2026/flavio-bolsonaro-lula-debates-primeiro-turno/
2026-08-23,Lula,Ausente no debate da Band,debate,Não compareceu. Motivo alegado: não vai a debate 'para ouvir bobagem' e a campanha contestou o convite a Zema e Renan. Foi o principal alvo dos presentes (Renan e Caiado).,https://www.congressoemfoco.com.br/noticia/121577/band-realiza-primeiro-debate-presidencial-veja-quem-participa
2026-08-23,Lula,Entrevista à Record no horário do debate,entrevista,"Record exibe entrevista exclusiva de Lula no Domingo Espetacular às 20h30, meia hora após o início do debate da Band. Lula diz que Lulinha 'terá de se defender como qualquer cidadão'. Cury chamou a exibição simultânea de 'desrespeito à democracia'.",https://www.gazetadopovo.com.br/eleicoes/2026/lula-troca-debate-da-band-por-contraponto-na-record-e-responde-sobre-lulinha/
2026-08-23,Renan Santos,Participa do debate da Band,debate,"Mais agressivo dos três: leva fraldas com nomes de Lula e Flávio, chama-os de 'covardes', põe placa de 'ladrão' no púlpito vazio de Lula, chama Lula de 'canalha' e diz que Flávio tem 'déficits cognitivos graves'. Defende 'estado de defesa, à GLO' em áreas dominadas pelo crime; contra o fim da 6x1.","https://www.terra.com.br/noticias/eleicoes/em-debate-esvaziado-lula-vira-principal-alvo-de-renan-e-flavio-acaba-poupado-cury-e-caiado-trocam-afagos-e-zema-e-ignorado,ee39a548d31faeb0a95e79a9b596602b3egpcpka.html"
2026-08-23,Renan Santos,Cury critica sua agressividade no debate,ataque,Cury repreende Renan ('sua agressividade me assombra') por atacar eleitores e adversários; Renan defende o confronto direto.,https://www.band.com.br/eleicoes/noticias/augusto-cury-critica-agressividade-de-renan-santos-me-assombra-202608232034
2026-08-23,Renan Santos,Checagem da Band/Lupa no debate,debate,Checagem: 'favelização aumenta' verdadeiro; 'Brasil não produz pesquisa sobre terras raras' falso; 'Casas Bahia quebrou' falso (recuperação judicial); afirmações sobre analfabetismo funcional e jornada nos países concorrentes com falta de contexto.,https://www.band.com.br/politica/eleicoes/2026/lupa-renan-santos-caiado-e-cury-falam-sobre-economia-e-seguranca-202608232308
2026-08-23,Romeu Zema,Desiste do debate da Band horas antes,debate,Campanha alega que a mudança de data (16/8 para 23/8) fora aceita na expectativa de Lula participar; sem Lula e Flávio o debate perderia o propósito. Renan chamou as desistências de 'vergonha'.,https://www.cnnbrasil.com.br/eleicoes/romeu-zema-desiste-de-debate-presidencial-na-band-e-atribui-ausencia-a-lula/
2026-08-23,Ronaldo Caiado,Participa do debate da Band,debate,Um dos três presentes. Chama Lula e Flávio de 'fujões'; usa a fórmula 'Dark Horse de um lado e dark lobby do outro'. Promete 40 presídios federais e uso de IA na segurança. Troca elogios com Cury.,https://www.congressoemfoco.com.br/noticia/121583/ausentes-lula-e-flavio-viram-principais-alvos-do-debate-da-band
2026-08-23,Ronaldo Caiado,Troca de convites com Cury no debate,declaração,Cury convida Caiado para ser 'xerife do Brasil' em seu governo; Caiado responde que estará na Presidência e que Cury 'sem dúvida vai fazer parte de uma equipe' na área de saúde mental.,"https://www.terra.com.br/noticias/eleicoes/cury-e-caiado-trocam-convites-para-ministerio-e-area-de-saude-mental-de-eventuais-governos,44fef1c3f524ad5b1f5d0587674f074980n4n3ti.html"
2026-08-23,Ronaldo Caiado,Checagem da Band/Lupa no debate,debate,Checagem: 'Lula e Flávio têm maior rejeição' verdadeiro; '7 dos 10 melhores colégios médios estão em Goiás' falta contexto; 'maior parte do território controlada por facções' insustentável.,https://www.band.com.br/politica/eleicoes/2026/lupa-renan-santos-caiado-e-cury-falam-sobre-economia-e-seguranca-202608232308
2026-08-23,Samara Martins,Excluída do debate da Band; protesto da UP,debate,"Militantes da UP protestam na porta da Band no Morumbi contra a exclusão. Band só era obrigada a convidar partidos com 5 parlamentares (Lula, Flávio, Caiado, Cury); Zema e Renan entraram por decisão da emissora.",https://www.tribunadosertao.com.br/geral/2026/08/23/965508-militantes-protestam-contra-ausencia-de-samara-martins-em-debate-da-band
2026-08-24,Flávio Bolsonaro,Agenda com Fiesp e premiação Veja,contexto,"Reunião da diretoria da Fiesp na Paulista e evento Veja TOP30 no Palácio Tangará, em SP.",https://agenciabrasil.ebc.com.br/politica/noticia/2026-08/veja-como-foi-segunda-feira-24-dos-candidatos-presidente
2026-08-24,Lula,Audiência da entrevista supera o debate,contexto,"Vermelho (site do PCdoB) reporta 5,4 pontos de média para a entrevista na Record contra 1,9 do debate da Band, 'o mais esvaziado desde 1989'.",https://vermelho.org.br/2026/08/24/audiencia-mostra-decisao-acertada-de-lula-em-dar-entrevista-ao-inves-de-ir-a-debate/
2026-08-24,Pablo Marçal,TSE dá 7 dias para contestar impugnações,justiça eleitoral,"Ministra Estela Aranha abre prazo de 7 dias para defesa contra impugnações do MP Eleitoral, Erciley Santana (Novo), Tabata Amaral (PSB), Paula Nunes e Guilherme Cortez (PSOL). Restrições de 20/8 mantidas. Publicado em 25/8.",https://www.metropoles.com/colunas/grande-angular/tse-da-sete-dias-para-marcal-contestar-impugnacoes-a-candidatura
2026-08-24,Romeu Zema,Sabatina no Jornal Nacional,entrevista,"Primeiro da série do JN. Atribui alta da dívida de MG a decisões anteriores; defende privatizar Petrobras, idade mínima automática na Previdência, vacinação como escolha individual, modelo Bukele e anistia aos condenados do 8/1. Checagem Ranking dos Políticos: 45% verdadeiras, 46% parciais.",https://exame.com/brasil/eleicoes-2026-o-que-caiado-e-zema-falaram-na-sabatina-do-jornal-nacional/
2026-08-24,Romeu Zema,Encontro com pastores e vítimas de apostas,proposta,"Em Belford Roxo (RJ), na Assembleia de Deus, diz que as igrejas trabalham 'para tirar essa desgraça' das famílias; reitera que seu primeiro ato será acabar com as bets (reafirmado em Porto Alegre em 28/8).",https://agenciabrasil.ebc.com.br/politica/noticia/2026-08/veja-como-foi-segunda-feira-24-dos-candidatos-presidente
2026-08-25,Flávio Bolsonaro,Carreata em Maceió e convenção da Assembleia de Deus,contexto,"Carreata em Maceió (AL), encontro com empresários e Convenção dos Ministros das Assembleias de Deus.",https://www.portalafnews.com/noticia/17459/politica/confira-a-agenda-dos-presidenciaveis-nesta-terca-feira-25.html
2026-08-25,Pablo Marçal,TRE-SP derruba uma das condenações (5 a 1); duas pendem no TSE,justiça eleitoral,"Ação por abuso de poder e uso indevido de meios de comunicação julgada improcedente; restam a venda de apoio por Pix e o concurso de cortes (Gazeta do Povo, 26/8/2026).",https://www.gazetadopovo.com.br/eleicoes/2026/tre-sp-derruba-uma-das-condenacoes-que-tornava-pablo-marcal-inelegivel/
2026-08-25,Romeu Zema,Sabatina O Globo/Valor/CBN,entrevista,Sabatina no Rio de Janeiro.,https://www.portalafnews.com/noticia/17459/politica/confira-a-agenda-dos-presidenciaveis-nesta-terca-feira-25.html
